tBodyAcc-std()-Y,tBodyAcc-mad()-Y,tBodyAcc-max()-Y,tBodyAcc-iqr()-Y,tGravityAcc-mean()-Z,tGravityAcc-max()-Z,tGravityAcc-min()-Z,fBodyAcc-mean()-Y,fBodyAcc-std()-Y,fBodyAcc-mad()-Y,fBodyAcc-max()-Y,fBodyAcc-bandsEnergy()-17;32,fBodyAccMag-mad(),fBodyAccMag-iqr(),angle(Z;gravityMean)
-0.938404,-0.95250112,-0.89408755,-0.97566897,-0.28271916,-0.27924413,-0.26215956,-0.91850969,-0.94829035,-0.93068029,-0.96842407,-0.99820395,-0.711074,-0.95398356,0.27680104
-0.97541469,-0.9867988,-0.89408755,-0.9940063,-0.28921515,-0.30487004,-0.26215956,-0.96090303,-0.98434996,-0.97576424,-0.99305058,-0.99975978,-0.95974581,-0.99847624,0.28134292
-0.99381904,-0.99440345,-0.93926027,-0.99345592,-0.28751284,-0.30487004,-0.26166084,-0.99190627,-0.99475367,-0.99394138,-0.99508201,-0.99996186,-0.98378426,-0.99957012,0.28008303
-0.99474279,-0.99527433,-0.93860975,-0.99523552,-0.29339576,-0.3051008,-0.27291573,-0.99302982,-0.99559355,-0.99405284,-0.99749533,-0.99997142,-0.98211956,-0.99950382,0.28411379
-0.99385248,-0.9941114,-0.93860975,-0.9934979,-0.30296094,-0.31255214,-0.2791896,-0.99240425,-0.99450372,-0.9931035,-0.99593203,-0.9999597,-0.9788381,-0.99950002,0.29072202
-0.99445523,-0.99458514,-0.93785626,-0.99486027,-0.30893973,-0.32370024,-0.27941631,-0.99384268,-0.99464709,-0.99305391,-0.99590188,-0.99996158,-0.97987556,-0.99952651,0.29489576
-0.99581919,-0.99599613,-0.93785626,-0.99584132,-0.30956386,-0.32796467,-0.27941631,-0.99537972,-0.99594218,-0.99473236,-0.99697179,-0.99997736,-0.98728087,-0.99974229,0.29528184
-0.99559442,-0.99534087,-0.94126341,-0.99463972,-0.3107735,-0.32796467,-0.28495663,-0.99517743,-0.99570067,-0.99499829,-0.9961527,-0.99997417,-0.9907674,-0.99986339,0.29598103
-0.99678413,-0.99702932,-0.94126341,-0.9969622,-0.31573741,-0.32850166,-0.28847057,-0.99647166,-0.99685732,-0.99621591,-0.99756893,-0.99998453,-0.9906142,-0.99987985,0.29939413
-0.99837313,-0.99866291,-0.94376125,-0.99859886,-0.3175966,-0.33207944,-0.28847057,-0.99731998,-0.99900639,-0.99820226,-0.99921002,-0.9999934,-0.99294329,-0.99990786,0.30082171
-0.99878507,-0.99882827,-0.94376125,-0.99855557,-0.31398567,-0.33037597,-0.28782218,-0.99826331,-0.99906652,-0.99828794,-0.99975576,-0.99999642,-0.99370311,-0.99991574,0.29847844
-0.99778103,-0.99771026,-0.94397942,-0.99683066,-0.31295562,-0.33037597,-0.28447663,-0.99635482,-0.99864331,-0.99805624,-0.99912346,-0.99999369,-0.99601109,-0.99993879,0.29768742
-0.99620456,-0.99652049,-0.94128565,-0.99624498,-0.31568266,-0.33162241,-0.28741586,-0.99479144,-0.99693516,-0.99627409,-0.9979874,-0.99998486,-0.99530622,-0.99992192,0.29940116
-0.9968836,-0.99749785,-0.94128565,-0.99725271,-0.31981835,-0.3350033,-0.29523672,-0.99571171,-0.99749113,-0.99699292,-0.99776339,-0.99998886,-0.98793678,-0.99979967,0.30228943
-0.99606469,-0.99621791,-0.94325196,-0.99592115,-0.32552855,-0.33794487,-0.29772735,-0.99606425,-0.99595662,-0.99580627,-0.99539217,-0.99997948,-0.98950494,-0.99980923,0.30635075
-0.98907559,-0.99378223,-0.9205047,-0.99759856,-0.32576314,-0.33655778,-0.29772735,-0.98320133,-0.99250983,-0.9885137,-0.99600796,-0.99993944,-0.96746788,-0.9990845,0.30646033
-0.9366878,-0.94133717,-0.84158181,-0.95614208,-0.42668132,-0.42100876,-0.46204695,-0.94551956,-0.9332142,-0.94536736,-0.93021129,-0.99759278,-0.85576029,-0.98612989,0.37925791
-0.98456111,-0.98395147,-0.93852643,-0.98290158,-0.42265611,-0.42100876,-0.39978167,-0.98654788,-0.98357495,-0.98571739,-0.98162296,-0.9998173,-0.93797575,-0.99758518,0.37409474
-0.99457065,-0.99533656,-0.93828083,-0.99582982,-0.42609871,-0.43323703,-0.39978167,-0.99267369,-0.99553177,-0.99466956,-0.99476795,-0.99997101,-0.97284557,-0.99942668,0.37713126
-0.97012403,-0.97738718,-0.91115208,-0.99131655,-0.41889767,-0.43240732,-0.39426422,-0.95935318,-0.97563293,-0.96647093,-0.9849257,-0.99958712,-0.92558908,-0.99627484,0.37197819
-0.96892213,-0.9753863,-0.91115208,-0.98486672,-0.42463213,-0.43240732,-0.41152031,-0.95800959,-0.9744658,-0.96151452,-0.98457237,-0.99964069,-0.9450127,-0.99737756,0.37591329
-0.96093148,-0.97340036,-0.86436887,-0.9864316,-0.44115702,-0.43634887,-0.41830792,-0.94008646,-0.97319827,-0.96400867,-0.98371291,-0.99960034,-0.95342129,-0.99721362,0.38769496
-0.94875426,-0.9584052,-0.83840352,-0.96597386,-0.44715997,-0.44549851,-0.41830792,-0.92600164,-0.96120153,-0.94420227,-0.98166357,-0.99918792,-0.88231245,-0.98870746,0.39173059
-0.96241329,-0.97218363,-0.83840352,-0.98483681,-0.43031319,-0.42741652,-0.41830056,-0.94789038,-0.97000008,-0.95436485,-0.9856338,-0.99948282,-0.85484132,-0.9871492,0.37984261
-0.98916068,-0.99063487,-0.93050996,-0.99308745,-0.41368431,-0.42737207,-0.39575415,-0.98365223,-0.99230894,-0.98958138,-0.99433758,-0.99992694,-0.98508439,-0.99959825,0.36830468
-0.99115349,-0.99180349,-0.9344256,-0.99288641,-0.41194179,-0.42735611,-0.38394094,-0.98861582,-0.99236991,-0.98962291,-0.99462169,-0.99994099,-0.97575665,-0.99937852,0.36732106
-0.99298881,-0.99341661,-0.9344256,-0.9933703,-0.41739217,-0.42735611,-0.39204413,-0.99282776,-0.99293072,-0.99240422,-0.99360048,-0.99995626,-0.9738442,-0.99938909,0.37119548
-0.99359232,-0.99452135,-0.94031685,-0.99560156,-0.42208281,-0.43340552,-0.39204413,-0.991768,-0.99446169,-0.99374268,-0.99473323,-0.99996756,-0.98674105,-0.99975945,0.37429781
-0.99502745,-0.99589597,-0.94071004,-0.9964422,-0.42075175,-0.4347102,-0.39200999,-0.99360857,-0.9957038,-0.99443897,-0.99682027,-0.99997925,-0.98677206,-0.99974642,0.37329644
-0.99334035,-0.99332197,-0.93620664,-0.99312662,-0.41949043,-0.43044536,-0.38893667,-0.99305923,-0.99334268,-0.99579918,-0.99121786,-0.99995152,-0.98126903,-0.99968026,0.3724099
-0.99188377,-0.99189627,-0.93620664,-0.99173168,-0.41431632,-0.42418592,-0.38893667,-0.99314892,-0.99118246,-0.99320333,-0.98930897,-0.99992795,-0.98232817,-0.99968255,0.3686363
-0.98771367,-0.98769454,-0.9178925,-0.98764097,-0.12719693,-0.13100866,-0.15921216,-0.98753271,-0.98763692,-0.98756737,-0.98635943,-0.99988073,-0.91278824,-0.9938511,0.17074661
-0.99639048,-0.99667953,-0.93869812,-0.99643011,-0.12120449,-0.13100866,-0.10076801,-0.99652123,-0.99621875,-0.99603799,-0.99538768,-0.99997994,-0.95814272,-0.99886043,0.16648313
-0.99678611,-0.99703831,-0.94135387,-0.99680645,-0.12711834,-0.14914596,-0.10076801,-0.99590613,-0.99719795,-0.99640583,-0.99791831,-0.99998462,-0.99408438,-0.99992273,0.17052513
-0.99697493,-0.99722492,-0.94045399,-0.99654256,-0.12454962,-0.14230161,-0.09890195,-0.99593464,-0.99749998,-0.99604277,-0.99883591,-0.99998521,-0.97224027,-0.99941041,0.16876519
-0.99726953,-0.9975726,-0.94045399,-0.99711036,-0.11858919,-0.13610347,-0.097006042,-0.99610705,-0.99789503,-0.99663296,-0.99852973,-0.99998906,-0.97579019,-0.99948813,0.1646853
-0.99724431,-0.99762012,-0.94196578,-0.99745978,-0.11314063,-0.13577218,-0.089239402,-0.99588013,-0.99801127,-0.99697177,-0.99869277,-0.99998988,-0.98886268,-0.99977971,0.16099192
